Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,Temperature (°C),Humidity (%),Relative Wind Direction (°),Precipitation (mm),Snow (mm),Wind Speed (m/s),COCO
"Tuesday, Apr 25",OAK,@,LAA,L,3.0,5.0,9.0,5-19,5.0,9.5,Canning,Miller,Estévez,2.783333333333333,N,26971.0,.33,-1,,16.1,81.0,135.82863453,0.0,,11.2,0.037037037037037035
"Wednesday, Apr 26",OAK,@,LAA,L,3.0,11.0,9.0,5-20,5.0,9.5,Sandoval,Medina,None,2.5,N,24524.0,.27,-2,,17.8,68.0,125.82863453,0.0,,13.0,0.07407407407407407
"Thursday, Apr 27",OAK,@,LAA,L,7.0,8.0,9.0,5-21,5.0,9.5,Ohtani,Sears,Estévez,3.05,D,21741.0,.28,-3,,17.8,73.0,195.82863453,0.0,,5.4,0.037037037037037035
"Friday, Apr 28",OAK,Home,CIN,L,7.0,11.0,9.0,5-22,5.0,10.5,Cessa,Rucinski,None,2.9333333333333336,N,6423.0,.19,-4,,17.2,67.0,245.48883674,0.0,,14.8,0.07407407407407407
"Saturday, Apr 29",OAK,Home,CIN,L,2.0,3.0,9.0,5-23,5.0,11.5,Legumina,Familia,Díaz,2.9,D,7052.0,.16,-5,,14.4,81.0,245.48883674,0.0,,22.3,0.07407407407407407
"Sunday, Apr 30",OAK,Home,CIN,W-wo,5.0,4.0,9.0,6-23,5.0,11.5,Jackson,Law,None,2.8,D,18271.0,.15,1,,11.7,86.0,225.48883674,0.0,,20.5,0.07407407407407407
"Tuesday, May 2",OAK,Home,SEA,L,1.0,2.0,9.0,6-24,5.0,12.5,Speier,Lovelady,Sewald,2.5,N,2583.0,.16,-1,,11.7,74.0,235.48883674,0.0,,44.6,0.1111111111111111
"Wednesday, May 3",OAK,Home,SEA,L,2.0,7.0,10.0,6-25,5.0,12.5,Brash,Oller,None,3.1166666666666667,N,2685.0,.13,-2,,12.2,69.0,75.48883674000001,0.0,,22.3,0.07407407407407407
"Thursday, May 4",OAK,Home,SEA,L,3.0,5.0,9.0,6-26,5.0,13.0,Kirby,Rucinski,Sewald,2.5666666666666664,D,13025.0,.11,-3,,11.7,89.0,235.48883674,2.5,,7.6,0.14814814814814814
"Friday, May 5",OAK,@,KCR,W,12.0,8.0,9.0,7-26,5.0,12.0,Muller,Keller,None,3.183333333333333,N,15966.0,.08,1,,14.4,81.0,113.28981806,0.0,,7.6,0.1111111111111111
"Saturday, May 6",OAK,@,KCR,W,5.0,4.0,9.0,8-26,5.0,12.0,Waldichuk,Singer,Jackson,3.2666666666666666,N,29549.0,.10,2,,19.4,73.0,103.28981806,0.0,,24.1,0.07407407407407407
"Sunday, May 7",OAK,@,KCR,L,1.0,5.0,9.0,8-27,5.0,13.0,Yarbrough,Miller,None,2.35,D,12740.0,.11,-1,,27.8,53.0,153.28981806000002,0.0,,22.3,0.037037037037037035
"Monday, May 8",OAK,@,NYY,L,2.0,7.0,9.0,8-28,5.0,14.0,Marinaccio,Sears,None,2.5666666666666664,N,33011.0,.10,-2,,18.3,68.0,194.38233316,0.2,,7.6,0.25925925925925924
"Tuesday, May 9",OAK,@,NYY,L,5.0,10.0,9.0,8-29,5.0,14.0,Schmidt,Rucinski,None,2.7333333333333334,N,33569.0,.09,-3,,19.4,37.0,284.38233316000003,0.0,,0.0,0.1111111111111111
"Wednesday, May 10",OAK,@,NYY,L,3.0,11.0,9.0,8-30,5.0,15.0,Cordero,Muller,García,2.783333333333333,D,40687.0,.06,-4,,13.3,60.0,94.38233316,0.0,,7.6,0.1111111111111111
"Thursday, May 11",OAK,Home,TEX,L,0.0,4.0,9.0,8-31,5.0,16.0,Eovaldi,Medina,Smith,2.2666666666666666,N,2949.0,.06,-5,,13.3,69.0,215.48883674,0.0,,24.1,0.07407407407407407
"Friday, May 12",OAK,Home,TEX,W-wo,9.0,7.0,10.0,9-31,5.0,15.0,Fujinami,Burke,None,3.5166666666666666,N,6575.0,.04,1,,12.8,80.0,215.48883674,0.0,,18.4,0.07407407407407407
"Saturday, May 13",OAK,Home,TEX,L,0.0,5.0,9.0,9-32,5.0,16.0,Gray,Kaprielian,None,2.3,D,8230.0,.05,-1,,13.3,80.0,225.48883674,0.0,,31.7,0.07407407407407407
"Sunday, May 14",OAK,Home,TEX,L,3.0,11.0,9.0,9-33,5.0,17.0,Hernández,Pruitt,None,2.7666666666666666,D,7793.0,.04,-2,,23.3,45.0,245.48883674,0.0,,14.8,0.07407407407407407
"Monday, May 15",OAK,Home,ARI,L,2.0,5.0,9.0,9-34,5.0,17.0,Kelly,Rucinski,Chafin,2.5833333333333335,N,2064.0,.03,-3,,16.1,75.0,265.48883674,0.0,,20.5,0.07407407407407407
"Tuesday, May 16",OAK,Home,ARI,W-wo,9.0,8.0,12.0,10-34,5.0,17.0,Pruitt,McGough,None,4.15,N,3261.0,.02,1,,13.3,87.0,245.48883674,0.0,,18.4,0.07407407407407407
"Wednesday, May 17",OAK,Home,ARI,L,3.0,5.0,9.0,10-35,5.0,17.0,Ruiz,Fujinami,Castro,2.85,D,4159.0,.02,-1,,15.0,81.0,235.48883674,0.0,,27.7,0.07407407407407407
"Friday, May 19",OAK,@,HOU,L,1.0,5.0,9.0,10-36,5.0,18.0,Bielak,Waldichuk,None,2.8,N,34931.0,.02,-2,,27.0,74.0,176.82615859999999,0.0,,18.4,0.037037037037037035
"Saturday, May 20",OAK,@,HOU,L,2.0,3.0,9.0,10-37,5.0,19.0,Neris,Lovelady,Pressly,2.5833333333333335,D,35475.0,.01,-3,,27.0,66.0,186.82615859999999,0.0,,16.6,0.1111111111111111
"Sunday, May 21",OAK,@,HOU,L,0.0,2.0,9.0,10-38,5.0,20.0,Valdez,Kaprielian,None,2.4333333333333336,D,39820.0,.01,-4,,27.0,66.0,6.826158599999985,0.0,,19.0,0.1111111111111111
"Monday, May 22",OAK,@,SEA,L,2.0,11.0,9.0,10-39,5.0,20.0,Castillo,Muller,None,2.7333333333333334,N,15418.0,.01,-5,,12.2,86.0,350.69115924,0.0,,14.8,0.6296296296296297
"Tuesday, May 23",OAK,@,SEA,L,2.0,3.0,9.0,10-40,5.0,21.0,Gonzales,Medina,Sewald,2.3166666666666664,N,15646.0,.01,-6,,15.0,55.0,160.69115924,0.0,,14.8,0.1111111111111111
"Wednesday, May 24",OAK,@,SEA,L,1.0,6.0,9.0,10-41,5.0,22.0,Miller,Waldichuk,None,2.65,N,14899.0,.00,-7,,16.1,52.0,270.69115924,0.0,,9.4,0.1111111111111111
"Thursday, May 25",OAK,@,SEA,L,2.0,3.0,9.0,10-42,5.0,22.5,Gilbert,Lovelady,Sewald,2.0,N,19268.0,.00,-8,,19.4,51.0,320.69115924,0.0,,7.6,0.037037037037037035
"Friday, May 26",OAK,Home,HOU,L,2.0,5.0,9.0,10-43,5.0,23.5,Brown,Kaprielian,Pressly,2.3833333333333333,N,13345.0,.00,-9,,13.9,77.0,215.48883674,0.0,,20.5,0.07407407407407407
"Saturday, May 27",OAK,Home,HOU,L,3.0,6.0,9.0,10-44,5.0,24.5,Valdez,Pruitt,Pressly,2.6833333333333336,D,9293.0,.00,-10,,13.9,72.0,215.48883674,0.0,,24.1,0.07407407407407407
"Sunday, May 28",OAK,Home,HOU,L,1.0,10.0,9.0,10-45,5.0,24.5,Javier,Medina,None,2.6166666666666667,D,8809.0,.00,-11,,13.3,80.0,225.48883674,0.0,,24.1,0.07407407407407407
"Monday, May 29",OAK,Home,ATL,W,7.0,2.0,9.0,11-45,5.0,24.5,Erceg,Soroka,None,2.5166666666666666,N,8556.0,.00,1,,13.3,77.0,225.48883674,0.0,,18.4,0.1111111111111111
"Tuesday, May 30",OAK,Home,ATL,W-wo,2.0,1.0,9.0,12-45,5.0,24.5,Fujinami,Iglesias,None,2.3166666666666664,N,5116.0,.00,2,,15.0,69.0,235.48883674,0.0,,22.3,0.1111111111111111
