Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,Temperature (°C),Humidity (%),Relative Wind Direction (°),Precipitation (mm),Snow (mm),Wind Speed (m/s),COCO
"Saturday, Aug 12",KCR,Home,STL,L,4.0,5.0,9.0,38-81,5.0,23.0,Matz,Ragans,Romero,2.6833333333333336,N,37016.0,.00,-1,,31.1,70.0,143.28981806000002,0.0,,13.0,0.1111111111111111
"Monday, Aug 14",KCR,Home,SEA,W-wo,7.0,6.0,9.0,39-81,5.0,23.0,Wittgren,Brash,None,3.066666666666667,N,11878.0,.00,1,,23.3,91.0,313.28981806,0.0,,7.6,0.1111111111111111
"Tuesday, Aug 15",KCR,Home,SEA,L,8.0,10.0,10.0,39-82,5.0,24.0,Muñoz,Davidson,Saucedo,3.4,N,12759.0,.00,-1,,20.0,73.0,263.28981806,0.0,,9.4,0.037037037037037035
"Wednesday, Aug 16",KCR,Home,SEA,L,5.0,6.0,9.0,39-83,5.0,24.0,Castillo,Coleman,Brash,2.8166666666666664,N,11091.0,.00,-2,,22.2,66.0,293.28981806,0.0,,5.4,0.037037037037037035
"Thursday, Aug 17",KCR,Home,SEA,L,4.0,6.0,9.0,39-84,5.0,24.5,Campbell,Hernández,Brash,2.65,D,10875.0,.00,-3,,26.1,60.0,133.28981806000002,0.0,,16.6,0.037037037037037035
"Friday, Aug 18",KCR,@,CHC,W,4.0,3.0,9.0,40-84,5.0,24.5,Ragans,Taillon,Hernández,2.716666666666667,D,37936.0,.00,1,,21.7,51.0,302.38427116,0.0,,25.9,0.037037037037037035
"Saturday, Aug 19",KCR,@,CHC,L,4.0,6.0,9.0,40-85,5.0,24.5,Steele,Singer,Alzolay,2.5666666666666664,D,39525.0,.00,-1,,21.1,46.0,142.38427116,0.0,,11.2,0.1111111111111111
"Sunday, Aug 20",KCR,@,CHC,L,3.0,4.0,9.0,40-86,5.0,25.5,Hendricks,Lyles,Alzolay,2.033333333333333,D,36949.0,.00,-2,,25.0,60.0,152.38427116,0.0,,13.0,0.07407407407407407
"Monday, Aug 21",KCR,@,OAK,L-wo,4.0,6.0,9.0,40-87,5.0,26.0,May,Coleman,None,2.6833333333333336,N,3095.0,.00,-3,,25.0,58.0,235.48883674,0.0,,22.3,0.1111111111111111
"Tuesday, Aug 22",KCR,@,OAK,L,4.0,5.0,9.0,40-88,5.0,26.0,Harris,Zerpa,May,2.6166666666666667,N,4021.0,.00,-4,,20.6,81.0,185.48883674,0.0,,29.5,0.07407407407407407
"Wednesday, Aug 23",KCR,@,OAK,W,4.0,0.0,9.0,41-88,5.0,25.0,Ragans,Martinez,Hernández,2.716666666666667,D,5075.0,.00,1,,21.1,76.0,225.48883674,0.0,,14.8,0.07407407407407407
"Friday, Aug 25",KCR,@,SEA,L,5.0,7.0,9.0,41-89,5.0,26.5,Campbell,Singer,Muñoz,3.1666666666666665,N,45175.0,.00,-1,,19.4,59.0,280.69115924,0.0,,7.6,0.037037037037037035
"Saturday, Aug 26",KCR,@,SEA,L,2.0,15.0,9.0,41-90,5.0,26.5,Gilbert,Lyles,None,2.466666666666667,D,41744.0,.00,-2,,23.3,45.0,260.69115924,0.0,,13.0,0.037037037037037035
"Sunday, Aug 27",KCR,@,SEA,L,2.0,3.0,9.0,41-91,5.0,27.5,Castillo,Marsh,Muñoz,2.283333333333333,D,38829.0,.00,-3,,27.2,35.0,260.69115924,0.0,,9.4,0.18518518518518517
"Monday, Aug 28",KCR,Home,PIT,L,0.0,5.0,9.0,41-92,5.0,28.5,Oviedo,Greinke,None,2.2666666666666666,N,11610.0,.00,-4,,22.8,61.0,3.2898180600000018,0.0,,9.4,0.037037037037037035
"Tuesday, Aug 29",KCR,Home,PIT,L,3.0,6.0,9.0,41-93,5.0,28.5,Ortiz,Hernández,None,2.6666666666666665,N,11233.0,.00,-5,,22.8,76.0,303.28981806,0.0,,5.4,0.037037037037037035
"Wednesday, Aug 30",KCR,Home,PIT,L,1.0,4.0,9.0,41-94,5.0,28.5,Jackson,Zerpa,Bednar,2.4166666666666665,N,10592.0,.00,-6,,25.0,64.0,273.28981806,0.0,,5.4,0.037037037037037035
"Friday, Sep 1",KCR,Home,BOS,W,13.0,2.0,9.0,42-94,5.0,28.5,Lyles,Paxton,None,2.6666666666666665,N,15470.0,.00,1,,23.3,52.0,43.28981806,0.0,,7.6,0.037037037037037035
"Saturday, Sep 2",KCR,Home,BOS,L,5.0,9.0,9.0,42-95,5.0,29.5,Houck,Marsh,Pivetta,2.9333333333333336,N,20527.0,.00,-1,,26.1,36.0,83.28981806,0.0,,13.0,0.037037037037037035
"Sunday, Sep 3",KCR,Home,BOS,L,3.0,7.0,9.0,42-96,5.0,29.5,Sale,Greinke,None,3.1166666666666667,D,15785.0,.00,-2,,25.6,45.0,173.28981806000002,0.0,,11.2,0.037037037037037035
"Monday, Sep 4",KCR,Home,CHW,W,12.0,1.0,9.0,43-96,5.0,29.5,Ragans,Scholtens,None,2.65,D,10646.0,.00,1,,31.7,42.0,123.28981806,0.0,,18.4,0.037037037037037035
"Tuesday, Sep 5",KCR,Home,CHW,W-wo,7.0,6.0,9.0,44-96,5.0,29.5,Kowar,Santos,None,2.5,N,10395.0,.00,2,,30.0,48.0,103.28981806,0.0,,20.5,0.037037037037037035
"Wednesday, Sep 6",KCR,Home,CHW,L,4.0,6.0,9.0,44-97,5.0,29.5,Toussaint,Lyles,Shaw,2.6166666666666667,N,11046.0,.00,-1,,28.9,46.0,263.28981806,0.0,,18.4,0.037037037037037035
"Friday, Sep 8",KCR,@,TOR,L,4.0,5.0,9.0,44-98,5.0,30.5,Green,Hernández,Romano,3.1666666666666665,N,26493.0,.00,-2,,19.0,80.0,343.9095893,0.0,,24.1,0.1111111111111111
"Saturday, Sep 9",KCR,@,TOR,L,1.0,5.0,9.0,44-99,5.0,31.5,Gausman,Greinke,None,2.3333333333333335,D,41443.0,.00,-3,,16.4,73.0,14.909589299999993,0.0,,21.2,0.07407407407407407
"Sunday, Sep 10",KCR,@,TOR,L,2.0,5.0,9.0,44-100,5.0,31.5,Berríos,Clarke,Romano,2.783333333333333,D,35275.0,.00,-4,,19.6,72.0,31.909589299999993,0.0,,7.6,0.1111111111111111
"Wednesday, Sep 13",KCR,@,CHW,W,7.0,1.0,9.0,46-101,5.0,30.5,Marsh,Clevinger,None,2.65,N,15593.0,.00,2,,17.8,63.0,2.939327700000007,0.0,,7.6,0.037037037037037035
"Friday, Sep 15",KCR,Home,HOU,W,4.0,2.0,9.0,47-101,5.0,31.0,Zerpa,Javier,Clarke,2.95,N,15465.0,.00,3,,22.8,40.0,93.28981806,0.0,,13.0,0.037037037037037035
"Saturday, Sep 16",KCR,Home,HOU,W,10.0,8.0,9.0,48-101,5.0,30.0,McArthur,Neris,Clarke,3.05,N,19557.0,.00,4,,21.1,71.0,233.28981806000002,0.0,,13.0,0.1111111111111111
"Sunday, Sep 17",KCR,Home,HOU,L,1.0,7.0,9.0,48-102,5.0,31.0,Valdez,Lyles,None,2.4166666666666665,D,15311.0,.00,-1,,17.2,87.0,213.28981806000002,0.0,,9.4,0.037037037037037035
