Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,Temperature (°C),Humidity (%),Relative Wind Direction (°),Precipitation (mm),Snow (mm),Wind Speed (m/s),COCO
"Sunday, Sep 3",SDP,Home,SFG,W,4.0,0.0,9.0,65-73,4.0,20.0,Lugo,Cobb,None,2.5666666666666664,D,41050.0,.03,3,,22.8,84.0,300.2625247,0.0,,9.4,0.1111111111111111
"Monday, Sep 4",SDP,Home,PHI,L,7.0,9.0,9.0,65-74,4.0,20.5,Walker,Hill,Alvarado,3.5166666666666666,D,39719.0,.04,-1,,21.1,76.0,310.2625247,0.0,,9.4,0.1111111111111111
"Tuesday, Sep 5",SDP,Home,PHI,W,8.0,0.0,9.0,66-74,4.0,19.5,Avila,Lorenzen,None,2.2333333333333334,N,42970.0,.02,1,,20.6,78.0,300.2625247,0.0,,7.6,0.07407407407407407
"Wednesday, Sep 6",SDP,Home,PHI,L,1.0,5.0,9.0,66-75,4.0,19.5,Wheeler,Wacha,None,3.0,D,34317.0,.02,-1,,21.7,68.0,300.2625247,0.0,,5.4,0.1111111111111111
"Friday, Sep 8",SDP,@,HOU,W,11.0,2.0,9.0,67-75,4.0,20.0,Snell,Brown,None,3.0,N,39516.0,.01,1,,30.0,70.0,226.82615859999999,0.0,,13.0,0.07407407407407407
"Saturday, Sep 9",SDP,@,HOU,L,5.0,7.0,9.0,67-76,4.0,20.0,Maton,Lugo,Pressly,3.05,N,39452.0,.01,-1,,29.0,79.0,166.82615859999999,0.0,,17.0,0.037037037037037035
"Sunday, Sep 10",SDP,@,HOU,L,2.0,12.0,9.0,67-77,4.0,21.0,France,Waldron,None,2.8166666666666664,D,41073.0,.01,-2,,30.0,55.0,196.82615859999999,0.0,,7.0,0.07407407407407407
"Monday, Sep 11",SDP,@,LAD,W,11.0,8.0,9.0,68-77,4.0,20.0,Suarez,Phillips,None,3.1166666666666667,N,40072.0,.00,1,,24.4,60.0,333.5154598,0.0,,0.0,0.037037037037037035
"Tuesday, Sep 12",SDP,@,LAD,L,2.0,11.0,9.0,68-78,4.0,21.0,Lynn,Wacha,None,2.6,N,42194.0,.00,-1,,24.0,56.0,232.5154598,0.0,,16.6,0.1111111111111111
"Wednesday, Sep 13",SDP,@,LAD,W,6.0,1.0,9.0,69-78,4.0,20.0,Snell,Pepiot,None,2.45,N,41810.0,.00,1,,22.0,66.0,194.5154598,0.0,,6.0,0.037037037037037035
"Friday, Sep 15",SDP,@,OAK,W,8.0,3.0,9.0,70-78,4.0,20.0,Lugo,Newcomb,None,2.85,N,17828.0,.00,2,,17.2,93.0,255.48883674,0.0,,16.6,0.07407407407407407
"Saturday, Sep 16",SDP,@,OAK,W,5.0,2.0,9.0,71-78,4.0,20.0,Waldron,Miller,Hader,3.25,D,14876.0,.00,3,,17.2,90.0,235.48883674,0.0,,20.5,0.07407407407407407
"Sunday, Sep 17",SDP,@,OAK,W,10.0,1.0,9.0,72-78,4.0,20.0,Avila,Waldichuk,None,2.8333333333333335,D,8680.0,.01,4,,19.4,73.0,215.48883674,0.0,,20.5,0.07407407407407407
"Monday, Sep 18",SDP,Home,COL,W,11.0,9.0,9.0,73-78,4.0,20.0,Wacha,Blach,Hader,3.216666666666667,N,42062.0,.01,5,,21.1,73.0,320.2625247,0.0,,9.4,0.1111111111111111
"Tuesday, Sep 19",SDP,Home,COL,W-wo,2.0,0.0,9.0,74-78,4.0,20.0,Hader,Kinley,None,2.716666666666667,N,39809.0,.01,6,,20.6,70.0,300.2625247,0.0,,9.4,0.07407407407407407
"Wednesday, Sep 20",SDP,Home,COL,W,3.0,2.0,9.0,75-78,4.0,19.0,García,Anderson,Hader,2.4333333333333336,D,35479.0,.02,7,,20.6,73.0,290.2625247,0.0,,13.0,0.1111111111111111
"Friday, Sep 22",SDP,Home,STL,W,4.0,2.0,9.0,76-78,4.0,18.5,Suarez,Liberatore,None,2.6833333333333336,N,42983.0,.06,8,,20.0,76.0,320.2625247,0.0,,14.8,0.1111111111111111
"Saturday, Sep 23",SDP,Home,STL,L,2.0,5.0,11.0,76-79,4.0,19.5,Lawrence,Barlow,None,3.716666666666667,N,42525.0,.11,-1,,19.4,84.0,310.2625247,0.0,,14.8,0.14814814814814814
"Sunday, Sep 24",SDP,Home,STL,W,12.0,2.0,9.0,77-79,3.0,19.5,Wacha,Rom,None,2.6333333333333333,D,42505.0,.02,1,,19.4,79.0,310.2625247,0.0,,7.6,0.07407407407407407
"Monday, Sep 25",SDP,@,SFG,L,1.0,2.0,9.0,77-80,4.0,20.0,Webb,Suarez,None,2.3833333333333333,N,28557.0,.01,-1,,16.7,80.0,224.8480534,0.0,,11.2,0.07407407407407407
"Tuesday, Sep 26",SDP,@,SFG,W,4.0,0.0,9.0,78-80,3.0,19.5,Lugo,Brebbia,Hader,2.3166666666666664,N,28183.0,.00,1,,21.1,59.0,154.8480534,0.0,,18.4,0.1111111111111111
"Wednesday, Sep 27",SDP,@,SFG,W,5.0,2.0,10.0,79-80,3.0,19.5,Hader,Brebbia,Cosgrove,2.8666666666666667,N,32151.0,.00,2,,17.8,87.0,214.8480534,0.0,,25.9,0.07407407407407407
"Friday, Sep 29",SDP,@,CHW,W,3.0,2.0,9.0,80-80,3.0,19.0,Martinez,Cease,Hader,3.066666666666667,N,20491.0,.02,3,,17.8,84.0,312.93932770000004,0.0,,5.4,0.037037037037037035
"Saturday, Sep 30",SDP,@,CHW,W,6.0,1.0,9.0,81-80,3.0,18.0,Wacha,Clevinger,None,2.4333333333333336,N,30118.0,.00,4,,19.4,81.0,342.93932770000004,0.0,,13.0,0.037037037037037035
"Sunday, Oct 1",SDP,@,CHW,W,2.0,1.0,11.0,82-80,3.0,18.0,Hill,Cronin,None,3.1166666666666667,D,20588.0,.00,5,,21.7,66.0,32.93932770000001,0.0,,7.6,0.037037037037037035
