Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,Temperature (°C),Humidity (%),Relative Wind Direction (°),Precipitation (mm),Snow (mm),Wind Speed (m/s),COCO
"Friday, Jul 28",MIL,@,ATL,L,7.0,10.0,9.0,57-47,1.0,up 0.5,McHugh,Houser,Iglesias,2.9166666666666665,N,42502.0,1.48,-1,,28.3,63.0,202.35313,0.0,,0.0,0.07407407407407407
"Saturday, Jul 29",MIL,@,ATL,L,5.0,11.0,9.0,57-48,1.0,up 0.5,Elder,Teheran,None,2.6,N,43276.0,1.53,-2,,25.0,90.0,262.35312999999996,0.0,,5.4,0.1111111111111111
"Sunday, Jul 30",MIL,@,ATL,L,6.0,8.0,9.0,57-49,2.0,0.5,Yates,Payamps,Iglesias,2.5,D,40262.0,1.46,-3,,28.3,74.0,202.35313,0.0,,0.0,0.1111111111111111
"Monday, Jul 31",MIL,@,WSN,L,3.0,5.0,9.0,57-50,2.0,1.5,Weems,Peguero,Finnegan,2.5,N,19290.0,1.48,-4,,24.4,69.0,121.05180647,0.0,,9.4,0.07407407407407407
"Tuesday, Aug 1",MIL,@,WSN,W,6.0,4.0,9.0,58-50,2.0,0.5,Peralta,Gray,Williams,2.6833333333333336,N,19847.0,1.41,1,,24.4,50.0,301.05180647,0.0,,11.2,0.07407407407407407
"Wednesday, Aug 2",MIL,@,WSN,L-wo,2.0,3.0,9.0,58-51,2.0,0.5,Finnegan,Williams,None,2.3333333333333335,D,17312.0,1.43,-1,,22.8,64.0,121.05180647,0.0,,9.4,0.07407407407407407
"Thursday, Aug 3",MIL,Home,PIT,W,14.0,1.0,9.0,59-51,1.0,up 0.5,Houser,Keller,None,2.6333333333333333,N,25930.0,1.41,1,,24.4,64.0,61.14629529999999,0.0,,9.4,0.1111111111111111
"Friday, Aug 4",MIL,Home,PIT,L,4.0,8.0,9.0,59-52,1.0,up 0.5,De Los Santos,Rea,None,2.95,N,35438.0,1.40,-1,,23.9,69.0,231.1462953,0.0,,0.0,0.1111111111111111
"Saturday, Aug 5",MIL,Home,PIT,W-wo,3.0,2.0,10.0,60-52,1.0,up 1.5,Williams,Perdomo,None,2.9833333333333334,N,35250.0,1.36,1,,21.7,76.0,241.1462953,0.0,,7.6,0.07407407407407407
"Sunday, Aug 6",MIL,Home,PIT,L,1.0,4.0,9.0,60-53,1.0,up 1.5,Oviedo,Woodruff,None,2.5,D,33144.0,1.41,-1,,22.8,84.0,281.1462953,0.0,,22.3,0.1111111111111111
"Monday, Aug 7",MIL,Home,COL,W,12.0,1.0,9.0,61-53,1.0,up 1.5,Peralta,Lambert,None,2.4,N,24759.0,1.41,1,,20.0,84.0,281.1462953,0.0,,14.8,0.1111111111111111
"Tuesday, Aug 8",MIL,Home,COL,L,3.0,7.0,10.0,61-54,1.0,up 1.5,Koch,Chafin,None,2.783333333333333,N,25365.0,1.31,-1,,20.6,66.0,91.14629529999999,0.0,,5.4,0.1111111111111111
"Wednesday, Aug 9",MIL,Home,COL,W-wo,7.0,6.0,10.0,62-54,1.0,up 2.5,Wilson,Lawrence,None,2.8666666666666667,D,35173.0,1.28,1,,24.4,64.0,121.14629529999999,0.0,,11.2,0.07407407407407407
"Friday, Aug 11",MIL,@,CHW,W,7.0,6.0,10.0,63-54,1.0,up 2.5,Williams,Lambert,Uribe,3.3833333333333333,N,30059.0,1.25,2,,23.3,76.0,122.9393277,0.0,,13.0,0.1111111111111111
"Saturday, Aug 12",MIL,@,CHW,W,3.0,2.0,9.0,64-54,1.0,up 2.5,Woodruff,Scholtens,Williams,2.55,N,29851.0,1.24,3,,26.1,72.0,102.9393277,0.0,,14.8,0.07407407407407407
"Sunday, Aug 13",MIL,@,CHW,W,7.0,3.0,9.0,65-54,1.0,up 3.5,Peralta,Cease,None,2.6833333333333336,D,24495.0,1.16,4,,25.6,54.0,112.9393277,0.0,,13.0,0.037037037037037035
"Tuesday, Aug 15",MIL,@,LAD,L,2.0,6.0,9.0,65-55,1.0,up 3.5,Miller,Houser,Yarbrough,2.1666666666666665,N,46050.0,1.27,-1,,21.1,82.0,333.5154598,0.0,,0.0,0.037037037037037035
"Wednesday, Aug 16",MIL,@,LAD,L,1.0,7.0,9.0,65-56,1.0,up 2.5,Kershaw,Miley,None,2.1666666666666665,N,41413.0,1.13,-2,,22.2,73.0,333.5154598,0.0,,0.0,0.037037037037037035
"Thursday, Aug 17",MIL,@,LAD,L,0.0,1.0,9.0,65-57,1.0,up 2.0,Ferguson,Payamps,Phillips,2.216666666666667,N,43195.0,1.06,-3,,22.8,69.0,333.5154598,0.0,,0.0,0.037037037037037035
"Friday, Aug 18",MIL,@,TEX,W,9.0,8.0,9.0,66-57,1.0,up 2.0,Peguero,Sborz,Williams,3.1166666666666667,N,33797.0,1.01,1,,37.2,29.0,127.19716629,0.0,,18.4,0.037037037037037035
"Saturday, Aug 19",MIL,@,TEX,W,6.0,1.0,9.0,67-57,1.0,up 3.0,Peralta,Dunning,None,2.75,D,39578.0,1.01,2,,36.7,29.0,137.19716628999998,0.0,,16.6,0.07407407407407407
"Sunday, Aug 20",MIL,@,TEX,W,6.0,2.0,9.0,68-57,1.0,up 3.0,Houser,Scherzer,Williams,3.1333333333333333,D,37138.0,.88,3,,35.0,35.0,127.19716629,0.0,,9.4,0.07407407407407407
"Tuesday, Aug 22",MIL,Home,MIN,W,7.0,3.0,9.0,69-57,1.0,up 3.5,Wilson,Floro,None,2.55,N,38688.0,.82,4,,20.6,87.0,251.1462953,0.0,,16.6,0.1111111111111111
"Wednesday, Aug 23",MIL,Home,MIN,W-wo,8.0,7.0,10.0,70-57,1.0,up 3.5,Peguero,Durán,None,3.5,D,38164.0,.82,5,,23.3,79.0,41.14629529999999,0.0,,9.4,0.07407407407407407
"Friday, Aug 25",MIL,Home,SDP,W,7.0,3.0,9.0,71-57,1.0,up 4.0,Woodruff,Darvish,None,2.75,N,33089.0,.78,6,,22.2,87.0,241.1462953,0.0,,16.6,0.25925925925925924
"Saturday, Aug 26",MIL,Home,SDP,W,5.0,4.0,9.0,72-57,1.0,up 4.0,Peralta,Avila,Williams,2.5166666666666666,N,39945.0,.63,7,,21.7,87.0,1.1462952999999914,0.0,,9.4,0.1111111111111111
"Sunday, Aug 27",MIL,Home,SDP,W,10.0,6.0,9.0,73-57,1.0,up 4.0,Wilson,Wilson,None,3.1166666666666667,D,36528.0,.61,8,,20.0,73.0,271.1462953,0.0,,18.4,0.07407407407407407
"Monday, Aug 28",MIL,@,CHC,W,6.0,2.0,9.0,74-57,1.0,up 5.0,Miley,Taillon,None,2.3,N,35097.0,.67,9,,19.4,68.0,352.38427116,0.0,,9.4,0.037037037037037035
"Tuesday, Aug 29",MIL,@,CHC,L,0.0,1.0,9.0,74-58,1.0,up 4.0,Steele,Burnes,Alzolay,2.5,N,33294.0,.53,-1,,21.7,53.0,102.38427116,0.0,,5.4,0.037037037037037035
"Wednesday, Aug 30",MIL,@,CHC,L,2.0,3.0,9.0,74-59,1.0,up 3.0,Alzolay,Payamps,None,2.5166666666666666,D,31769.0,.56,-2,,20.6,73.0,2.3842711599999973,0.0,,13.0,0.037037037037037035
"Friday, Sep 1",MIL,Home,PHI,W,7.0,5.0,9.0,75-59,1.0,up 3.5,Williams,Alvarado,None,2.5666666666666664,N,32519.0,.52,1,,16.1,78.0,11.146295299999991,0.0,,7.6,0.07407407407407407
"Saturday, Sep 2",MIL,Home,PHI,W,7.0,5.0,9.0,76-59,1.0,up 4.5,Chafin,Nola,Williams,3.0166666666666666,N,35253.0,.50,2,,21.1,71.0,51.14629529999999,0.0,,14.8,0.037037037037037035
"Sunday, Sep 3",MIL,Home,PHI,L,2.0,4.0,9.0,76-60,1.0,up 3.5,Domínguez,Miley,Kimbrel,2.6833333333333336,D,33473.0,.44,-1,,27.8,44.0,111.14629529999999,0.0,,22.3,0.07407407407407407
"Monday, Sep 4",MIL,@,PIT,L,2.0,4.0,9.0,76-61,1.0,up 2.5,Ortiz,Burnes,Bednar,2.3666666666666667,N,10831.0,.39,-2,,25.6,69.0,103.4235757,0.0,,5.4,0.07407407407407407
"Tuesday, Sep 5",MIL,@,PIT,W,7.0,3.0,9.0,77-61,1.0,up 2.5,Woodruff,Jackson,None,2.7,N,9324.0,.49,1,,23.9,76.0,143.42357570000001,0.0,,7.6,0.07407407407407407
"Wednesday, Sep 6",MIL,@,PIT,L,4.0,5.0,9.0,77-62,1.0,up 1.5,Mlodzinski,Peguero,Bednar,2.7666666666666666,D,8594.0,.45,-1,,25.0,71.0,243.42357570000001,0.0,,0.0,0.07407407407407407
"Friday, Sep 8",MIL,@,NYY,W,8.0,2.0,9.0,78-62,1.0,up 3.0,Uribe,Brito,None,3.033333333333333,N,37115.0,.51,1,,26.1,62.0,4.382333160000002,0.0,,7.6,0.1111111111111111
"Saturday, Sep 9",MIL,@,NYY,W,9.0,2.0,9.0,79-62,1.0,up 4.0,Payamps,Loáisiga,None,2.8,D,44068.0,.38,2,,23.9,82.0,284.38233316000003,2.1,,0.0,0.3333333333333333
