Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,Temperature (°C),Humidity (%),Relative Wind Direction (°),Precipitation (mm),Snow (mm),Wind Speed (m/s),COCO
"Friday, Sep 8",NYM,@,MIN,L,2.0,5.0,9.0,64-76,4.0,28.0,Thielbar,Reid-Foley,Durán,2.5666666666666664,N,26154.0,.02,-2,,13.3,80.0,269.49605421,0.0,,0.0,0.1111111111111111
"Saturday, Sep 9",NYM,@,MIN,L,4.0,8.0,9.0,64-77,4.0,28.0,Maeda,Peterson,None,2.6333333333333333,D,30673.0,.01,-3,,17.8,68.0,269.49605421,0.0,,0.0,0.07407407407407407
"Sunday, Sep 10",NYM,@,MIN,W,2.0,0.0,9.0,65-77,4.0,28.0,Raley,Jax,Ottavino,2.7666666666666666,D,22890.0,.00,1,,17.8,84.0,259.49605421,0.0,,7.6,0.1111111111111111
"Monday, Sep 11",NYM,Home,ARI,L,3.0,4.0,9.0,65-78,4.0,28.5,Ginkel,Smith,Sewald,2.8333333333333335,N,25230.0,.00,-1,,23.3,91.0,26.00885818,0.0,,9.4,0.1111111111111111
"Tuesday, Sep 12",NYM,Home,ARI,W,7.0,4.0,9.0,66-78,4.0,28.5,Buttó,Nelson,Ottavino,2.8833333333333333,N,33506.0,.00,1,,22.0,94.0,266.00885818,0.0,,7.6,0.037037037037037035
"Wednesday, Sep 13",NYM,Home,ARI,W,7.0,1.0,9.0,67-78,4.0,28.5,Lucchesi,Gallen,None,2.75,N,22026.0,.01,2,,23.3,85.0,346.00885818,0.0,,0.0,0.07407407407407407
"Thursday, Sep 14",NYM,Home,ARI,W,11.0,1.0,9.0,68-78,4.0,28.0,Senga,Kelly,None,2.6333333333333333,D,22879.0,.00,3,,23.9,69.0,346.00885818,0.0,,0.0,0.07407407407407407
"Friday, Sep 15",NYM,Home,CIN,L,3.0,5.0,9.0,68-79,4.0,28.0,Sims,Hartwig,Díaz,2.8833333333333333,N,27811.0,.01,-1,,20.0,59.0,329.00885818,0.0,,7.6,0.037037037037037035
"Saturday, Sep 16",NYM,Home,CIN,L,2.0,3.0,9.0,68-80,4.0,28.0,Duarte,Megill,Law,3.066666666666667,N,32633.0,.00,-2,,17.8,60.0,346.00885818,0.0,,0.0,0.1111111111111111
"Sunday, Sep 17",NYM,Home,CIN,W,8.0,4.0,9.0,69-80,4.0,27.0,Quintana,Williamson,None,2.8833333333333333,D,38044.0,.00,1,,20.6,59.0,246.00885818,0.0,,9.4,0.037037037037037035
"Monday, Sep 18",NYM,@,MIA,W,2.0,1.0,9.0,70-80,4.0,26.0,Bickford,Scott,Ottavino,2.533333333333333,N,14577.0,.00,2,,26.1,90.0,231.8678115,0.0,,0.0,0.1111111111111111
"Tuesday, Sep 19",NYM,@,MIA,L-wo,3.0,4.0,9.0,70-81,4.0,27.0,Scott,Gott,None,2.75,N,10897.0,.00,-1,,25.6,90.0,301.8678115,2.0,,5.4,0.1111111111111111
"Wednesday, Sep 20",NYM,@,MIA,W,8.0,3.0,9.0,71-81,4.0,26.0,Senga,Pérez,None,3.066666666666667,N,12045.0,.00,1,,25.0,79.0,301.8678115,0.0,,11.2,0.1111111111111111
"Thursday, Sep 21",NYM,@,PHI,L,4.0,5.0,9.0,71-82,4.0,27.0,Suárez,Brigham,Alvarado,2.8,N,30116.0,.00,-1,,18.9,65.0,349.92948032,0.0,,0.0,0.07407407407407407
"Friday, Sep 22",NYM,@,PHI,L-wo,4.0,5.0,10.0,71-83,4.0,28.0,Domínguez,Ottavino,None,3.15,N,38795.0,.00,-2,,16.1,78.0,349.92948032,0.0,,0.0,0.1111111111111111
"Saturday, Sep 23",NYM,@,PHI,L,5.0,7.0,9.0,71-84,4.0,28.5,Wheeler,Quintana,Alvarado,2.5166666666666666,D,40388.0,.00,-3,,17.2,70.0,49.929480319999996,0.0,,22.3,0.25925925925925924
"Sunday, Sep 24",NYM,@,PHI,L,2.0,5.0,9.0,71-85,4.0,29.0,Sánchez,Buttó,Lorenzen,2.4,N,41139.0,.00,-4,,16.7,93.0,39.929480319999996,0.3,,29.5,0.2962962962962963
"Thursday, Sep 28",NYM,Home,MIA,W,1.0,0.0,8.0,73-86,4.0,30.0,Hartwig,Luzardo,None,2.183333333333333,D,31097.0,.00,1,,17.2,65.0,46.008858180000004,0.0,,14.8,0.1111111111111111
"Sunday, Oct 1",NYM,Home,PHI,L,1.0,9.0,9.0,75-87,4.0,29.0,Nelson,Buttó,None,2.5166666666666666,D,41212.0,.00,-1,,18.3,81.0,335.00885818,0.0,,5.4,0.037037037037037035
